PassengerId,GroupId,Group_Size,HomePlanet,Destination,Side,Deck,Cabin_Number,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0001_01,1,1,1,2,0,1,0,39.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0002_01,2,1,0,2,1,5,0,24.0,0,0,109.0,9.0,25.0,549.0,44.0,1
0003_01,3,2,1,2,1,0,0,58.0,0,1,43.0,3576.0,0.0,6715.0,49.0,0
0003_02,3,2,1,2,1,0,0,33.0,0,0,0.0,1283.0,371.0,3329.0,193.0,0
0004_01,4,1,0,2,1,5,1,16.0,0,0,303.0,70.0,151.0,565.0,2.0,1
0005_01,5,1,0,1,0,5,0,44.0,0,0,0.0,483.0,0.0,291.0,0.0,1
0006_01,6,1,0,2,1,5,2,26.0,0,0,42.0,1539.0,3.0,0.0,0.0,1
0007_01,7,1,0,2,1,5,3,35.0,0,0,0.0,785.0,17.0,216.0,0.0,1
0008_01,8,3,1,0,0,1,1,14.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0008_03,8,3,1,0,0,1,1,45.0,0,0,39.0,7295.0,589.0,110.0,124.0,1
0009_01,9,1,2,2,0,5,1,32.0,0,0,73.0,0.0,1123.0,0.0,113.0,1
0010_01,10,1,0,2,1,6,1,48.0,0,0,719.0,1.0,65.0,0.0,24.0,0
0011_01,11,1,0,2,0,5,2,28.0,0,0,8.0,974.0,12.0,2.0,7.0,1
0015_01,15,1,0,0,0,5,4,24.0,0,0,0.0,1.0,0.0,0.0,637.0,0
0016_01,16,1,2,2,0,5,5,45.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0017_01,17,2,0,2,0,6,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0017_02,17,2,0,0,0,5,6,14.0,0,0,412.0,0.0,1.0,0.0,679.0,0
0020_01,20,6,0,2,1,4,0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0020_02,20,6,0,0,1,4,0,49.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0020_04,20,6,0,2,1,4,0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0020_06,20,6,0,2,1,4,0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0025_01,25,1,0,2,1,5,6,15.0,0,0,0.0,225.0,0.0,998.0,0.0,0
0026_01,26,1,1,0,0,2,0,34.0,0,0,22.0,6073.0,0.0,1438.0,328.0,0
0028_01,28,1,2,2,0,5,8,43.0,0,0,1125.0,0.0,136.0,48.0,0.0,0
0030_01,30,1,0,2,1,6,4,32.0,0,0,0.0,850.0,81.0,437.0,453.0,0
0031_01,31,2,2,2,0,5,9,47.0,0,0,214.0,0.0,1411.0,0.0,1229.0,1
0031_02,31,2,2,2,0,5,9,2.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0034_01,34,1,1,0,1,3,1,28.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0035_01,35,1,2,0,0,3,1,23.0,0,0,784.0,964.0,0.0,951.0,0.0,0
0038_01,38,1,0,0,1,5,10,20.0,0,0,554.0,195.0,0.0,2606.0,0.0,0
0041_01,41,1,0,2,0,6,2,17.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0043_01,43,1,1,2,0,1,3,45.0,0,0,0.0,164.0,45.0,2511.0,855.0,0
0044_01,44,3,0,2,0,6,3,55.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0044_02,44,3,0,0,0,6,3,4.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0044_03,44,3,0,1,0,6,3,21.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0045_01,45,1,2,2,0,5,10,21.0,0,0,970.0,0.0,180.0,0.0,64.0,0
0051_01,51,1,0,2,1,4,2,56.0,0,0,0.0,112.0,0.0,1379.0,127.0,0
0053_01,53,1,0,2,1,5,11,25.0,0,0,0.0,0.0,1938.0,0.0,1.0,1
0056_01,56,3,1,2,1,0,1,2.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0056_02,56,3,1,2,1,0,1,38.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0056_03,56,3,1,2,1,0,1,27.0,0,0,279.0,605.0,3374.0,286.0,3.0,1
0058_01,58,1,0,1,1,6,7,36.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0061_01,61,1,0,2,1,5,12,22.0,0,0,45.0,1096.0,148.0,1377.0,1.0,0
0062_01,62,1,0,2,1,5,13,62.0,0,0,0.0,592.0,0.0,17.0,25.0,0
0066_01,66,1,0,2,0,6,6,62.0,0,0,1.0,153.0,197.0,0.0,460.0,0
0067_01,67,3,0,1,1,6,10,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0067_02,67,3,0,2,1,6,10,18.0,0,0,1.0,258.0,446.0,0.0,0.0,1
0067_03,67,3,0,0,1,5,15,21.0,0,0,1946.0,37.0,0.0,0.0,24.0,0
0070_01,70,1,0,2,0,5,13,19.0,0,0,190.0,0.0,5.0,1.0,726.0,0
0071_01,71,1,0,2,0,5,14,17.0,0,0,16.0,2165.0,0.0,0.0,52.0,0
0072_01,72,1,0,2,1,5,17,14.0,0,0,0.0,1.0,0.0,0.0,1063.0,0
0073_01,73,1,2,1,0,3,3,37.0,0,0,46.0,83.0,738.0,0.0,12.0,0
0074_01,74,1,1,2,1,2,3,42.0,0,0,1.0,8397.0,0.0,0.0,506.0,1
0076_01,76,1,2,2,1,5,18,27.0,0,0,147.0,0.0,1018.0,0.0,0.0,1
0077_01,77,1,2,2,0,5,15,28.0,0,0,14.0,0.0,1295.0,0.0,0.0,1
0078_01,78,1,1,2,1,2,4,38.0,0,0,0.0,5840.0,0.0,321.0,9654.0,0
0081_01,81,1,0,2,1,6,13,13.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0082_01,82,2,2,2,0,5,16,42.0,0,0,7406.0,0.0,0.0,0.0,0.0,0
0082_02,82,2,2,2,0,5,16,2.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0084_01,84,1,0,2,1,6,14,24.0,0,0,688.0,0.0,0.0,0.0,17.0,1
0085_01,85,1,1,2,1,2,5,40.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0086_01,86,1,0,2,0,5,17,43.0,0,0,211.0,0.0,0.0,638.0,513.0,0
0088_01,88,1,2,1,1,4,5,45.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0090_01,90,1,0,2,1,6,15,35.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0091_02,91,2,0,2,1,5,20,27.0,0,0,1.0,697.0,31.0,188.0,0.0,0
0092_01,92,3,0,2,0,6,9,19.0,0,0,0.0,0.0,670.0,1.0,34.0,0
0092_03,92,3,0,2,0,6,9,3.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0097_01,97,1,1,2,1,0,2,54.0,0,0,0.0,1208.0,0.0,3.0,637.0,0
0098_01,98,2,0,2,0,6,11,26.0,0,0,0.0,856.0,5.0,32.0,0.0,0
0098_02,98,2,0,2,0,6,11,26.0,0,0,0.0,2811.0,957.0,0.0,87.0,1
0099_01,99,1,0,1,0,5,19,23.0,0,0,311.0,427.0,526.0,37.0,0.0,0
0102_01,102,1,0,2,1,5,23,18.0,0,0,0.0,0.0,0.0,830.0,91.0,0
0103_02,103,3,0,0,1,6,18,9.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0103_03,103,3,0,2,1,6,18,6.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0107_01,107,1,2,2,1,3,2,21.0,0,0,1743.0,5.0,17.0,0.0,0.0,0
0108_01,108,1,0,2,1,6,19,23.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0110_03,110,4,1,2,0,1,5,42.0,0,0,2209.0,11418.0,0.0,1868.0,445.0,1
0110_04,110,4,1,2,0,1,5,28.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0111_01,111,1,1,2,1,4,6,29.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0112_01,112,1,1,0,1,1,1,48.0,0,1,0.0,2537.0,87.0,17.0,13.0,1
0113_01,113,1,0,2,0,5,23,64.0,0,0,0.0,0.0,804.0,0.0,0.0,1
0114_01,114,1,0,2,1,6,20,27.0,0,0,82.0,157.0,429.0,238.0,1.0,0
0116_01,116,1,1,2,0,3,4,33.0,0,0,1.0,2223.0,0.0,12.0,404.0,1
0119_02,119,2,1,2,0,0,0,13.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0122_01,122,1,0,2,1,6,21,29.0,0,0,0.0,0.0,0.0,699.0,74.0,0
0123_01,123,1,0,2,0,5,27,18.0,0,0,55.0,597.0,49.0,0.0,1.0,0
0126_01,126,1,2,2,1,5,27,67.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0127_01,127,1,2,2,1,4,7,35.0,0,0,701.0,0.0,296.0,0.0,25.0,0
0128_01,128,2,2,2,1,3,3,61.0,0,1,2353.0,334.0,9.0,316.0,2.0,0
0128_02,128,2,2,2,1,4,8,45.0,0,0,2103.0,6.0,0.0,0.0,0.0,0
0133_01,133,2,2,2,1,5,29,19.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0133_02,133,2,2,2,1,3,5,36.0,0,0,2738.0,0.0,0.0,0.0,0.0,0
0134_01,134,1,0,2,0,6,17,19.0,0,0,0.0,14.0,730.0,0.0,0.0,1
0138_01,138,1,0,2,0,6,18,13.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0139_01,139,1,1,0,1,2,6,35.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0140_01,140,2,0,2,0,6,19,24.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0140_02,140,2,0,2,0,5,29,26.0,0,0,440.0,0.0,0.0,0.0,462.0,0
0144_01,144,1,0,2,1,5,31,20.0,0,0,0.0,420.0,210.0,0.0,0.0,1
0146_01,146,1,0,2,1,6,25,56.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0147_01,147,1,0,2,1,6,26,50.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0148_01,148,1,2,2,0,5,31,42.0,0,0,1072.0,0.0,10.0,0.0,76.0,0
0151_01,151,1,0,0,0,6,20,38.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0160_01,160,1,0,2,0,6,22,22.0,0,0,4119.0,0.0,0.0,0.0,61.0,0
0163_01,163,2,1,2,0,1,8,26.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0163_02,163,2,1,2,0,1,8,17.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0164_02,164,2,0,1,1,6,28,17.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0167_01,167,2,2,2,1,5,35,13.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0167_02,167,2,2,2,1,5,35,27.0,0,0,1365.0,0.0,48.0,22.0,137.0,0
0169_01,169,1,0,2,0,6,23,31.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0170_01,170,1,0,2,1,4,10,24.0,0,0,0.0,0.0,0.0,221.0,567.0,0
0171_01,171,1,0,1,1,6,30,19.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0172_01,172,1,0,2,0,6,24,32.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0174_01,174,1,0,0,0,5,38,21.0,0,0,287.0,0.0,16.0,115.0,175.0,0
0177_01,177,1,1,2,1,1,2,38.0,0,0,0.0,10346.0,1.0,14970.0,2111.0,0
0178_01,178,1,2,2,1,3,6,38.0,0,0,3414.0,0.0,161.0,28.0,119.0,0
0179_01,179,3,0,2,0,6,26,19.0,0,0,1.0,219.0,673.0,2.0,11.0,1
0179_02,179,3,0,2,0,6,26,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0179_03,179,3,0,2,0,6,26,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0181_01,181,1,0,2,0,6,27,20.0,0,0,0.0,0.0,3.0,299.0,92.0,0
0182_01,182,1,1,2,0,2,3,24.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0183_01,183,1,0,2,1,5,36,37.0,0,0,17.0,146.0,426.0,0.0,232.0,1
0186_01,186,1,0,2,0,6,28,25.0,0,0,62.0,0.0,0.0,0.0,956.0,0
0188_01,188,1,0,2,1,6,31,56.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0189_01,189,1,0,0,0,4,8,49.0,0,0,84.0,3.0,401.0,202.0,98.0,0
0192_01,192,3,0,2,0,6,29,1.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0192_02,192,3,0,2,0,6,29,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0192_03,192,3,0,2,0,6,29,39.0,0,0,0.0,0.0,10.0,898.0,0.0,0
0193_01,193,3,2,2,0,5,41,2.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0193_03,193,3,2,2,0,5,41,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0195_01,195,1,2,2,0,5,42,39.0,0,0,406.0,0.0,867.0,0.0,0.0,1
0196_01,196,1,2,1,0,3,5,25.0,0,0,1052.0,0.0,719.0,0.0,7.0,0
0197_01,197,1,1,2,0,2,5,36.0,0,0,0.0,972.0,0.0,795.0,575.0,0
0199_01,199,1,0,2,1,6,33,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0200_01,200,1,0,2,0,6,31,15.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0201_01,201,2,1,2,1,1,3,35.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0201_02,201,2,1,2,1,1,3,47.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0202_01,202,1,1,0,0,1,9,45.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0203_01,203,1,1,2,1,2,8,51.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0205_01,205,1,0,2,1,6,34,29.0,0,0,0.0,2.0,66.0,0.0,705.0,0
0207_01,207,1,0,1,0,6,32,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0211_01,211,3,2,2,0,5,44,29.0,0,0,902.0,1.0,137.0,0.0,0.0,1
0211_02,211,3,2,2,0,5,44,11.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0211_03,211,3,2,2,0,5,44,17.0,0,0,848.0,0.0,307.0,182.0,0.0,0
0212_01,212,2,0,2,0,4,9,13.0,0,0,192.0,0.0,0.0,51.0,739.0,0
0212_02,212,2,0,2,0,5,45,35.0,0,0,147.0,188.0,0.0,10.0,387.0,0
0213_01,213,1,0,2,0,5,46,21.0,0,0,367.0,281.0,0.0,0.0,146.0,0
0216_01,216,1,0,0,1,5,40,21.0,0,0,0.0,56.0,0.0,0.0,1918.0,0
0217_01,217,1,0,2,0,5,47,38.0,0,0,1517.0,0.0,0.0,27.0,0.0,0
0219_01,219,1,0,2,0,6,36,19.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0220_01,220,7,0,2,0,6,37,2.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0220_02,220,7,0,2,0,6,37,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0220_03,220,7,0,2,0,6,37,13.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0220_05,220,7,0,2,0,5,48,16.0,0,0,0.0,3.0,0.0,0.0,1099.0,0
0220_06,220,7,0,0,0,6,37,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0
0220_07,220,7,0,2,0,6,37,15.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0221_01,221,7,2,0,1,4,13,21.0,0,0,2237.0,0.0,119.0,0.0,0.0,0
0221_02,221,7,2,2,1,4,13,23.0,0,0,1215.0,80.0,1.0,2.0,0.0,0
0221_03,221,7,2,2,1,4,13,33.0,0,0,1933.0,12.0,188.0,1.0,0.0,0
0221_04,221,7,2,2,1,4,13,21.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0221_05,221,7,2,2,1,4,13,41.0,0,0,1230.0,0.0,301.0,43.0,1023.0,0
0221_06,221,7,2,2,1,4,13,16.0,0,0,915.0,0.0,221.0,234.0,0.0,0
0221_07,221,7,2,2,1,4,13,42.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0222_01,222,3,2,2,1,5,41,20.0,0,0,1406.0,0.0,0.0,11.0,0.0,0
0222_02,222,3,2,2,1,5,41,24.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0222_03,222,3,2,2,1,4,14,16.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0223_01,223,1,0,2,1,6,35,21.0,0,0,0.0,2.0,665.0,0.0,9.0,0
0224_01,224,1,2,2,1,5,42,32.0,0,1,181.0,0.0,5.0,1634.0,0.0,0
0225_01,225,1,0,1,0,6,38,58.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0229_01,229,1,0,2,1,5,43,24.0,0,0,4.0,7.0,0.0,713.0,79.0,0
0231_01,231,1,2,2,1,5,44,30.0,0,0,85.0,0.0,1.0,1720.0,0.0,0
0233_01,233,1,2,2,1,5,45,32.0,0,0,56.0,0.0,256.0,1438.0,0.0,0
0237_01,237,1,1,2,0,1,11,42.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0240_01,240,1,2,2,0,5,52,35.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0243_01,243,1,0,2,1,6,37,21.0,1,0,0.0,0.0,0.0,0.0,0.0,0
0245_01,245,2,1,0,0,2,6,46.0,0,0,0.0,3571.0,0.0,0.0,7.0,1
0245_02,245,2,1,2,0,2,6,33.0,0,0,0.0,86.0,796.0,584.0,10912.0,0
0246_01,246,1,2,2,0,3,8,21.0,0,0,2947.0,0.0,287.0,27.0,0.0,0
0248_01,248,1,1,2,1,2,10,33.0,0,0,0.0,1.0,0.0,8620.0,1063.0,0
0252_01,252,1,0,2,0,5,53,30.0,0,0,335.0,695.0,541.0,0.0,0.0,0
0253_01,253,1,0,2,0,6,42,29.0,0,0,272.0,615.0,0.0,0.0,1.0,0
0254_01,254,1,0,2,0,5,54,21.0,0,0,702.0,172.0,408.0,2.0,6.0,1
0255_01,255,1,1,2,1,0,3,24.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0257_02,257,2,2,2,1,5,49,60.0,1,0,0.0,0.0,0.0,0.0,0.0,1
0258_01,258,1,0,2,1,5,50,22.0,0,0,0.0,0.0,313.0,299.0,92.0,0
0260_01,260,1,1,2,1,4,16,26.0,0,0,0.0,4810.0,0.0,981.0,2054.0,0
