GroupId,Group_Size,HomePlanet,Destination,Side,Deck,Cabin_Number,Age,CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
1,1,Europa,TRAPPIST-1e,P,B,0,39.0,0,0,0.0,0.0,0.0,0.0,0.0,False
2,1,Earth,TRAPPIST-1e,S,F,0,24.0,0,0,109.0,9.0,25.0,549.0,44.0,True
3,2,Europa,TRAPPIST-1e,S,A,0,58.0,0,1,43.0,3576.0,0.0,6715.0,49.0,False
3,2,Europa,TRAPPIST-1e,S,A,0,33.0,0,0,0.0,1283.0,371.0,3329.0,193.0,False
4,1,Earth,TRAPPIST-1e,S,F,1,16.0,0,0,303.0,70.0,151.0,565.0,2.0,True
5,1,Earth,PSO J318.5-22,P,F,0,44.0,0,0,0.0,483.0,0.0,291.0,0.0,True
6,1,Earth,TRAPPIST-1e,S,F,2,26.0,0,0,42.0,1539.0,3.0,0.0,0.0,True
7,1,Earth,TRAPPIST-1e,S,F,3,35.0,0,0,0.0,785.0,17.0,216.0,0.0,True
8,3,Europa,55 Cancri e,P,B,1,14.0,1,0,0.0,0.0,0.0,0.0,0.0,True
8,3,Europa,55 Cancri e,P,B,1,45.0,0,0,39.0,7295.0,589.0,110.0,124.0,True
9,1,Mars,TRAPPIST-1e,P,F,1,32.0,0,0,73.0,0.0,1123.0,0.0,113.0,True
10,1,Earth,TRAPPIST-1e,S,G,1,48.0,0,0,719.0,1.0,65.0,0.0,24.0,False
11,1,Earth,TRAPPIST-1e,P,F,2,28.0,0,0,8.0,974.0,12.0,2.0,7.0,True
15,1,Earth,55 Cancri e,P,F,4,24.0,0,0,0.0,1.0,0.0,0.0,637.0,False
16,1,Mars,TRAPPIST-1e,P,F,5,45.0,1,0,0.0,0.0,0.0,0.0,0.0,True
17,2,Earth,TRAPPIST-1e,P,G,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,True
17,2,Earth,55 Cancri e,P,F,6,14.0,0,0,412.0,0.0,1.0,0.0,679.0,False
20,6,Earth,TRAPPIST-1e,S,E,0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,False
20,6,Earth,55 Cancri e,S,E,0,49.0,1,0,0.0,0.0,0.0,0.0,0.0,False
20,6,Earth,TRAPPIST-1e,S,E,0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,True
20,6,Earth,TRAPPIST-1e,S,E,0,7.0,0,0,0.0,0.0,0.0,0.0,0.0,False
25,1,Earth,TRAPPIST-1e,S,F,6,15.0,0,0,0.0,225.0,0.0,998.0,0.0,False
26,1,Europa,55 Cancri e,P,C,0,34.0,0,0,22.0,6073.0,0.0,1438.0,328.0,False
28,1,Mars,TRAPPIST-1e,P,F,8,43.0,0,0,1125.0,0.0,136.0,48.0,0.0,False
30,1,Earth,TRAPPIST-1e,S,G,4,32.0,0,0,0.0,850.0,81.0,437.0,453.0,False
31,2,Mars,TRAPPIST-1e,P,F,9,47.0,0,0,214.0,0.0,1411.0,0.0,1229.0,True
31,2,Mars,TRAPPIST-1e,P,F,9,2.0,0,0,0.0,0.0,0.0,0.0,0.0,True
34,1,Europa,55 Cancri e,S,D,1,28.0,1,0,0.0,0.0,0.0,0.0,0.0,True
35,1,Mars,55 Cancri e,P,D,1,23.0,0,0,784.0,964.0,0.0,951.0,0.0,False
38,1,Earth,55 Cancri e,S,F,10,20.0,0,0,554.0,195.0,0.0,2606.0,0.0,False
41,1,Earth,TRAPPIST-1e,P,G,2,17.0,1,0,0.0,0.0,0.0,0.0,0.0,True
43,1,Europa,TRAPPIST-1e,P,B,3,45.0,0,0,0.0,164.0,45.0,2511.0,855.0,False
44,3,Earth,TRAPPIST-1e,P,G,3,55.0,1,0,0.0,0.0,0.0,0.0,0.0,False
44,3,Earth,55 Cancri e,P,G,3,4.0,1,0,0.0,0.0,0.0,0.0,0.0,True
44,3,Earth,PSO J318.5-22,P,G,3,21.0,1,0,0.0,0.0,0.0,0.0,0.0,True
